sample ID	forward sequence count
ec91140e.0862.4ece.bb4a.d114f4c42bdb	8918
20aa4aaf.8242.48d9.a225.e9f6b3e8938c	8667
55b26af1.31a6.4606.8b99.bf415a009311	8369
60345a80.4df2.4a0b.b7af.e2370c607aec	8097
104e5902.1c3e.417f.bb22.124bfca61a61	7952
65ba3877.ad29.4afc.aaec.bcf3544f5f75	7809
c784e063.e586.43cb.a602.9f2e2ae420d1	7683
b612f67e.eea8.4e03.81b7.034dbfc44669	7408
d7c251b8.15e9.4266.bcd8.6e6c6a453c11	7345
c18a0367.8148.4450.bf5a.507b6fe30c73	7183
72a8ae87.94ea.41e3.b43c.b5337f6a0548	7152
21a4ec1a.bcae.4e10.be82.66328d2dad4f	7084
fae97eb5.3264.4211.8ea3.823f547a6f0c	6985
c8b831af.2e3c.4aaa.83cf.b66c3016e0f3	6965
d6223d2e.0d62.4658.8eec.ccc9d4ee86a3	6789
2a1b28ba.f47e.44b6.bfd7.d3e41e762db3	6713
101c02ce.4f8d.4394.83a3.0c406831d934	6634
15129220.6eda.44ad.9511.be0f6e027f5d	6633
0bb5e24a.aa34.48e7.b1f9.e761ac2dc6b4	6621
ac7d2af0.9c75.4a32.bb2b.e79380ab8c61	5973
183645ce.cacd.4744.8440.de4eb377dfea	5908
35a8aef7.4bb0.4cab.bc0e.3576bb706571	5908
37f1087f.ae31.4fde.b96b.4b6c1d61351e	5758
7c66ff62.02e7.458d.a55d.8d07d15a9315	5639
b447da2d.f44f.4ced.ab9e.b560736484fb	5619
e94edb86.8fe0.42b8.a255.c48d4551405b	5457
b49ad14d.07c8.454d.82ec.c6fb9c7bcc36	5296
11c70d46.e0a4.4797.ad7b.3677fe93d73b	5204
884e1ddb.8d8b.45cf.8dba.16387520872c	5017
a6108908.5ef9.47ef.8f57.b055bc6ee7aa	4988
e4485061.924a.4f09.9d7e.bfefc780d1a8	4822
b1e40907.45fc.4d81.ad81.c58ed3d91e1f	4780
e5574c01.3027.458d.8f96.d68b66aae40b	4608
dfc347e3.eed7.4592.95eb.374724230326	4421
17f96e8a.dc68.4aef.98db.8aaaab702e33	4359
4b9ad407.fc2f.4463.bccc.0cf3a28d05f6	4348
8d2746d9.68e2.42e3.acfc.092603ad6ec1	4324
44ef59fb.3279.46dc.a113.c762aa889eb5	4256
36b313f7.8a44.4bdc.8034.82260a83d7b9	4222
df4b001a.f4cd.4b71.8ebe.a68b8df2cb80	4216
1fe57dd4.58b3.4fde.b8a1.f73db5614909	3986
8c4ae03d.dd8c.44ec.8336.15e0b031d97f	3982
e6dcb4be.68c0.473f.a9cb.412345eeb749	3850
61c3930c.61c4.4c82.8475.7a10ccaeb71c	3614
124dc1db.9029.41c6.afff.b73a692e19b1	3554
59d06f37.995b.40a5.91a8.c825d1a7ca6f	3495
90120dc2.ad2e.4916.a660.633ba4b6a7b8	3438
c61b44a5.ae92.4202.9d0c.b4507197e456	3224
6ecca0ea.049c.41ec.b324.404e504d44c0	3146
11c4be47.fdce.4135.8acf.0894f2da5ede	3049
98d36350.175c.439b.a534.27de6e5783ad	2986
683047f6.fe17.477f.9950.a6190ca34054	2840
873473f6.eef2.4718.b5f4.e88757055760	2799
c1a66804.c565.448a.8371.0c8e386f4969	2792
633bc9a7.b25f.475a.9bd3.858212b39d7d	2702
40112074.09e5.42b1.b332.17c9b89686e5	2694
212f0ce6.9123.4e38.abf3.db944de7f1c1	2687
11f3f37a.3698.4031.8183.75f6f2c6c04c	2664
fe826a14.1ed8.4d19.b14d.2233b960e1bc	2557
8cbe736d.b553.450d.af3c.d5ad08863390	2526
fa2e9bcc.cc53.4b83.ad1e.a308375854f5	2378
7e1f1b3f.4575.458c.9f42.287d03499e25	2354
bd64992d.87cc.464f.9e1b.9c0156ed65d8	2337
d623471b.5a0c.4291.a780.2ae6532752a9	2295
6519888d.bb69.495b.b4b8.07d0d4333455	2196
78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	2189
595e93ed.e4b3.42b5.91b1.1ad4f31e7134	1916
e7a2370c.f80c.4703.b2ee.10c65967e05f	1910
98c66ce0.1f4c.422c.86e9.3561ea63b612	1765
2756472a.03f4.41da.8564.1d7538f949c6	1735
b986755d.b15a.4ad4.b6a2.0c7cdd9b8ced	1709
ea89c98c.42eb.484a.aed3.33711e20a6fe	1524
558a13e5.f4a8.47bc.a63e.47d6dffe528b	1208
